"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5786413	Eulemur rufifrons (Bennett"," 1833)	5786413	Eulemur rufifrons (Bennett"," 1833)	476	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lemuridae	5485	Eulemur	2436417	Eulemur rufifrons	5786413	VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5219578	Cercopithecus mitis Wolf"," 1822	5219578	Cercopithecus mitis Wolf"," 1822	2081	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus mitis	5219578	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7913455	Alouatta macconnelli Elliot"," 1910	7913455	Alouatta macconnelli Elliot"," 1910	772	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta macconnelli	7913455	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436645	Ateles paniscus (Linnaeus"," 1758)	2436645	Ateles paniscus (Linnaeus"," 1758)	2484	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Ateles	2436640	Ateles paniscus	2436645	VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436398	Callicebus personatus (É.Geoffroy Saint-Hilaire"," 1812)	2436398	Callicebus personatus (É.Geoffroy Saint-Hilaire"," 1812)	189	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Callicebus	2436376	Callicebus personatus	2436398	VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8804520	Presbytis phayrei Blyth"," 1847	2436540	Trachypithecus phayrei (Blyth"," 1847)	64	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Trachypithecus	2436533	Trachypithecus phayrei	2436540	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7907603	Saguinus lagonotus (Jiménez de la Espada"," 1870)	9634740	Leontocebus lagonotus (Jiménez de la Espada"," 1870)	194	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Leontocebus	5428933	Leontocebus lagonotus	9634740	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7576788	Saimiri cassiquiarensis (Lesson"," 1840)	7576788	Saimiri cassiquiarensis (Lesson"," 1840)	1020	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri cassiquiarensis	7576788	LC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7669874	Sapajus flavius (Schreber"," 1799)	7669874	Sapajus flavius (Schreber"," 1799)	73	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Sapajus	4827386	Sapajus flavius	7669874	EN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5219593	Aotus brumbacki Hershkovitz"," 1983	5219593	Aotus brumbacki Hershkovitz"," 1983	127	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Aotidae	3239574	Aotus	2436667	Aotus brumbacki	5219593	VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
